k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
7,0.171,0.103,0.98,TF-IDF,nearest_neighbors,9
7,0.169,0.103,0.906,L2 Normalization,nearest_neighbors,5
7,0.168,0.103,0.996,TF-IDF,nearest_neighbors,7
7,0.169,0.101,1.0,TF-IDF,nearest_neighbors,4
7,0.165,0.101,0.983,TF-IDF,nearest_neighbors,6
7,0.155,0.097,0.95,L2 Normalization,nearest_neighbors,4
8,0.219,0.128,0.999,L2 Normalization,nearest_neighbors,10
8,0.215,0.127,0.984,Share of Top 30 (L1 Norm),nearest_neighbors,8
8,0.214,0.124,0.995,Share of Top 30 (L1 Norm),nearest_neighbors,7
8,0.196,0.117,0.921,L2 Normalization,nearest_neighbors,8
8,0.157,0.117,0.971,Share of Top 30 (L1 Norm),nearest_neighbors,5
8,0.181,0.115,0.848,Share of Top 30 (L1 Norm),nearest_neighbors,6
8,0.188,0.113,0.998,L2 Normalization,nearest_neighbors,9
8,0.188,0.113,0.896,L2 Normalization,nearest_neighbors,7
8,0.18,0.112,0.881,Share of Total,nearest_neighbors,4
8,0.195,0.111,0.936,Share of Total,nearest_neighbors,8
8,0.184,0.11,0.967,L2 Normalization,nearest_neighbors,6
8,0.181,0.108,0.974,Share of Total,nearest_neighbors,10
8,0.148,0.108,0.994,Share of Top 30 (L1 Norm),nearest_neighbors,4
8,0.196,0.106,0.887,Share of Top 30 (L1 Norm),nearest_neighbors,9
8,0.187,0.106,0.957,Share of Total,nearest_neighbors,7
8,0.161,0.106,0.895,Share of Total,nearest_neighbors,5
8,0.175,0.105,0.993,TF-IDF,nearest_neighbors,10
8,0.173,0.105,0.958,Share of Total,nearest_neighbors,9
8,0.192,0.101,0.829,Share of Top 30 (L1 Norm),nearest_neighbors,10
8,0.17,0.101,0.989,Share of Total,nearest_neighbors,6
8,0.167,0.1,0.996,TF-IDF,nearest_neighbors,4
8,0.165,0.099,0.983,TF-IDF,nearest_neighbors,5
8,0.162,0.097,0.882,TF-IDF,nearest_neighbors,8
8,0.158,0.096,0.832,L2 Normalization,nearest_neighbors,5
8,0.156,0.096,0.906,TF-IDF,nearest_neighbors,9
8,0.154,0.095,0.967,TF-IDF,nearest_neighbors,7
8,0.153,0.094,0.95,TF-IDF,nearest_neighbors,6
8,0.113,0.075,0.897,L2 Normalization,nearest_neighbors,4
9,0.187,0.119,0.953,Share of Total,nearest_neighbors,8
