k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
3,0.389,0.221,0.995,Share of Total,cosine,18
3,0.385,0.229,1.0,Share of Top 30 (L1 Norm),cosine,6
3,0.385,0.224,1.0,Share of Total,cosine,6
3,0.383,0.223,1.0,Share of Top 30 (L1 Norm),cosine,14
3,0.383,0.218,1.0,Share of Total,cosine,14
3,0.373,0.219,1.0,Share of Top 30 (L1 Norm),cosine,7
3,0.373,0.215,1.0,Share of Total,cosine,7
3,0.371,0.218,0.986,Share of Top 30 (L1 Norm),cosine,9
3,0.371,0.214,0.986,Share of Total,cosine,9
3,0.363,0.208,1.0,Share of Top 30 (L1 Norm),cosine,20
3,0.363,0.196,1.0,Share of Total,cosine,20
3,0.336,0.199,1.0,Share of Top 30 (L1 Norm),cosine,13
3,0.336,0.196,1.0,Share of Total,cosine,13
3,0.324,0.196,1.0,Share of Top 30 (L1 Norm),cosine,8
3,0.324,0.194,1.0,Share of Total,cosine,8
3,0.259,0.162,1.0,Share of Top 30 (L1 Norm),cosine,5
3,0.259,0.161,1.0,Share of Total,cosine,5
4,0.38,0.217,1.0,Share of Top 30 (L1 Norm),cosine,11
4,0.38,0.215,1.0,Share of Total,cosine,11
4,0.375,0.214,1.0,Share of Top 30 (L1 Norm),cosine,8
4,0.375,0.212,1.0,Share of Total,cosine,8
4,0.374,0.213,1.0,Share of Top 30 (L1 Norm),cosine,14
4,0.374,0.213,1.0,Share of Top 30 (L1 Norm),cosine,15
4,0.374,0.213,0.998,Share of Top 30 (L1 Norm),cosine,13
4,0.374,0.21,1.0,Share of Total,cosine,14
4,0.374,0.21,1.0,Share of Total,cosine,15
4,0.374,0.21,0.998,Share of Total,cosine,13
4,0.373,0.214,1.0,Share of Top 30 (L1 Norm),cosine,10
4,0.373,0.214,1.0,Share of Top 30 (L1 Norm),cosine,7
4,0.373,0.213,1.0,Share of Total,cosine,10
4,0.373,0.213,1.0,Share of Total,cosine,7
4,0.37,0.212,1.0,Share of Top 30 (L1 Norm),cosine,9
4,0.37,0.211,1.0,Share of Top 30 (L1 Norm),cosine,16
4,0.37,0.21,1.0,Share of Total,cosine,9
4,0.37,0.208,1.0,Share of Total,cosine,16
4,0.369,0.212,1.0,Share of Top 30 (L1 Norm),cosine,12
4,0.369,0.21,1.0,Share of Total,cosine,12
4,0.366,0.212,1.0,Share of Top 30 (L1 Norm),cosine,6
4,0.366,0.211,1.0,Share of Total,cosine,6
4,0.366,0.209,1.0,Share of Top 30 (L1 Norm),cosine,17
4,0.366,0.205,1.0,Share of Total,cosine,17
4,0.362,0.206,1.0,Share of Top 30 (L1 Norm),cosine,18
4,0.362,0.202,1.0,Share of Total,cosine,18
4,0.361,0.206,0.997,Share of Top 30 (L1 Norm),cosine,19
4,0.361,0.201,0.997,Share of Total,cosine,19
